Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
348,140.0,300.0,0.5555555555555556,7606.499214244743,4.410867422113602,406.52394325010215,0.1400000003092389,0.4426644052569391,5.690841107692534,9.36935797061698,6.318883086648593,6.632094395706678e-05,600.0,4485.672443728445,1778.0254898662647,333.83408650365624,408.9753379135617,1336.6212604254122,813.9175125277841,1203.772741153702,304.94330719376137,305.6912188326944,304.94330719376137,762.5643154338355,0.0248811565315083,5325.630427992344
349,140.0,310.0,0.5405017921146953,8987.329971470304,4.426123089937711,438.802649340147,0.1399999172601346,0.4223907616598625,5.29584431085896,9.06938343937018,5.833334380096818,5.77098047724477e-06,600.0,5422.598970784539,2094.0997774364764,377.68563897243246,492.943181990346,1697.053282522311,993.2906771855528,1540.6848614978828,357.82114598882816,358.63105604525487,357.82114598882816,921.8418250333716,0.026306679377426,6054.054662971075
350,140.0,320.0,0.5263888888888889,10000.0,4.5518327651898565,433.56719291146675,0.1426632453338385,0.4290541648671551,5.1756184786946315,8.764266662868843,5.687154487486496,3217.359185880126,600.0,6139.802318871455,2353.5480960257364,407.5438950465608,555.8274600028927,1932.136234763995,1143.7956596708034,1758.3485769558577,376.4520744380339,377.3394211988701,376.4520744380339,1043.7663942081474,0.0264849742343608,6868.818651778927
351,150.0,80.0,1.9638888888888888,100.0,1.1539139819616788,1309.573783120641,0.0377836169212532,0.140379707010625,11.374405072783198,14.22912646713599,14.417241184415644,481493.71741214383,600.0,95.31534076934696,6.686425736635715,86.17175138840976,5.723965464744538,8.791668606851458,7.030284322435836,6.93613977326642,58.578118537309216,58.59290145272567,58.578118537309216,16.203607930788987,0.0248247967505531,25.859640950349977
352,150.0,90.0,1.7555555555555555,100.0,1.2389880502590516,1209.4382778159195,0.033338749273819,0.1592140750984493,12.00566471819528,12.905449997808422,15.480174280258314,481155.2714549909,600.0,94.96364767001324,6.825695677243398,86.14025850744312,5.723965464744538,8.329401357381254,7.753645707315448,6.459875592455624,50.80986657995857,50.837667540927015,50.80986657995857,16.14382010390225,0.0231242522749884,35.14769885620894
353,150.0,100.0,1.5888888888888888,100.0,1.0,1500.0,0.0510725937773541,0.176731220829228,10.1691086936952,15.7355081968673,12.49420789572722,451164.7040969225,600.0,73.12038960908362,6.600854255317923,86.24274210136932,5.723965464744538,9.833703524282274,6.358923073454967,8.00370866521263,77.99778864711426,78.037813343733,77.99778864711426,12.430466233544214,0.0279821449777832,34.20510643028791
354,150.0,110.0,1.4525252525252526,100.0,1.3082254590309956,990.166471971538,0.0400537018672936,0.2248989153025323,12.50181258000699,14.138430341814123,16.34524085961643,453083.7193590284,600.0,74.28206149211192,6.9911723844544325,86.11773836177439,5.723965464744538,7.998840116985988,7.0840594303489235,6.1179887686492425,45.57399463129232,45.6413988321626,45.57399463129232,12.627950453659029,0.0217365099313892,55.02376720908643
355,150.0,120.0,1.3388888888888888,100.0,1.0,1500.0,0.0511042723040375,0.2119460023730484,10.1691086936952,14.335437460190205,12.49420789572722,446449.0058712075,600.0,69.5935916262026,6.608097150407492,86.24274210136932,5.723965464744538,9.833703524282274,6.984296827943789,8.00370866521263,77.99778864711426,78.08621744404357,77.99778864711426,11.83091057645444,0.0276179578287653,48.6142956605016
356,150.0,130.0,1.2427350427350423,2871.858493229117,3.086188905582053,609.8447080512213,0.0977730825184233,0.1831857739242881,6.387161462392199,14.596145188882073,7.195313407619693,352597.68650684995,600.0,1940.140744370863,585.1213391333553,199.7554207917411,140.64035446569966,449.6298567272343,196.7902542535728,399.1290344890156,235.1799617640901,235.20009735011777,235.1799617640901,329.82392654304675,0.0272389011157907,535.958598518971
357,150.0,140.0,1.1603174603174602,5273.582138057603,3.751732214495848,486.4171881038067,0.1292217395271626,0.2034638397048314,5.800281613676761,14.490087121737416,6.454873017568368,228403.9382815112,600.0,3453.123199786958,1155.4449017039174,270.48967570340386,272.44060695829666,909.1941545773868,364.00190257379427,816.9923906642903,292.2296916984016,292.2481243760725,292.2296916984016,587.0309439637829,0.0273089984049125,920.9487270555765
