,mission_range,cruise_speed,duration,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
41,30.0,324.0,0.18148148148148147,2147.4985408109847,20.412949775285224,6.000000000000008,1.4410196162418407,1.3846153456242596,1499.999998658164,0.2524222479526555,0.012427099378710104,1.3000000377712595,5.01622751168848,0.9064136411442896,5.494487377065772,3.255556567971496e-05,2.978155780458885e-08,600.0,397.7642739871869,464.4751144038063,556.3006555810564,128.95832426559468,428.11027526303906,341.6678910299059,390.84602319312563,403.31593947099293,503.93329942842115,403.31593947099293,67.61992657782177
42,30.0,360.0,0.17222222222222222,2358.995838087333,19.594195361592334,6.222206385688107,1.4371870508827842,1.5384613223775039,1499.9998493506748,0.23398352498864872,0.009717366994628916,1.3000003131538147,4.7943916200459995,0.7826187099251729,5.228455717314234,0.0010387312233550716,2.2072674314552848e-10,600.0,475.10720825132523,553.4245365262594,587.992729971664,142.47137819495993,492.0323630268443,471.6163880531352,451.184052353246,445.40273336810145,486.4819013653981,445.40273336810145,80.76822540272528
43,30.0,396.0,0.16464646464646465,2632.5933598890374,18.795776528247547,6.527391183100831,1.4425159345266843,1.692307780724487,1499.9999999996814,0.22496951751954858,0.007873149765306982,1.2999999320801052,4.574942247188051,0.680290003168965,4.96766675358129,1.4421828732125164e-05,0.0004689944105650759,600.0,572.8250453073523,669.2466078066777,630.3870739758542,160.15628907793237,575.4375066717265,643.600089026821,529.945644600888,493.3951060298825,476.9273414652469,493.3951060298825,97.38025770224988
44,30.0,432.0,0.15833333333333333,2982.07411731094,18.093809756600805,7.0134783203305675,1.4735786233106518,1.8467403860450624,1499.5148196100442,0.22243926944037687,0.006576378590176511,1.300007601469076,4.405603374811723,0.5957432100709954,4.768017294070275,0.007239289849193753,0.34452047499311994,600.0,692.4999266120893,817.0383739607254,690.0624502710319,183.06032513258265,676.8821120758246,869.9902111014763,625.4327393106531,535.5796932244649,474.0918746049963,535.5796932244649,117.72498752405517
45,30.0,468.0,0.15299145299145298,3438.6035539628333,17.941213919500886,7.471593883845727,1.5223073826545126,1.9999991519951272,1499.9999999993033,0.2204088949327971,0.005737735619739596,1.3000005512040047,4.251116365218137,0.5286450707003263,4.587066387270816,0.0023006603454351904,2.1477183165371114e-06,600.0,847.5622954276979,1013.6898058505126,763.8775145267605,213.47247264828673,808.8707197236151,1177.4429107571057,749.6302132240802,578.6683039246956,485.4507334286618,578.6683039246956,144.08559022270865
46,30.0,504.0,0.14841269841269839,696.7654350786569,9.633066440161368,6.978410686535313,1.0000770793598983,2.0,1500.0,0.07172185436425058,0.002822752457537289,1.4,5.991819087232095,0.38535368591399316,6.694434561215836,0.07894962324733701,1042132.3096369086,600.0,335.05454428411355,375.46784499646776,366.34819708477175,40.743666921420655,116.28612695656768,794.6529983911174,104.08129748782116,271.6889308774657,238.82390260610566,271.6889308774657,56.9592725282993
47,30.0,540.0,0.14444444444444443,3404.7949778207094,12.814909129485727,7.991547869521643,1.4291866677113316,2.0,1500.0,0.22949776219840148,0.006302021271597855,1.5,4.028087359248698,0.49182509133245783,4.327800166119096,0.8288124177217604,20812.78716889717,600.0,877.1059422709983,1098.0907613337988,762.6625541771975,211.20209577782177,845.2634399805465,1390.059637367901,786.726476993026,650.0778184958106,533.1935183940267,650.0778184958106,149.1080101860697
48,30.0,576.0,0.14097222222222222,2906.035497963694,10.198721474950332,8.277420087850226,1.249065186955499,1.9999999999996587,1499.99996460811,0.2163220334905181,0.00601607494694201,1.6000000377516232,3.8253439114957177,0.4640257906055724,4.09409930519586,0.6333345682564229,173323.7190784781,600.0,811.8296909155662,1026.028860656052,706.4504665877186,178.04813319086827,759.6795386764135,1406.4857866155312,709.8107010437234,726.4119849987076,509.00050607056966,726.4119849987076,138.01104745564623
49,40.0,36.0,1.2,197.55527181935517,24.99999999999999,6.000000000000281,1.167913861023095,1.987831479974521,100.0,1.535798196648742,0.04818723373161367,1.5091822572597815,11.534014466520121,8.908865190564548,14.682169276729871,-2.760062176081796,507198.18724888586,600.0,24.389708913592713,9.62522240657649,263.1016127041602,12.617207706407221,17.12805826564554,2.545010702822001,13.455455259766373,56.48319986639979,17.900023896087294,56.48319986639979,4.146250515310761
50,40.0,72.0,0.6444444444444445,503.35960424527764,24.99999999999967,6.0,1.7181003113687134,1.535120499695025,287.104430427771,0.9782816289162581,0.033197245800812784,1.3613471448544812,10.829334242215143,4.404933401803158,13.53109872339055,0.5410565259922624,325068.76992649544,600.0,55.24534681089636,52.4816920354197,336.0743103739165,29.706279599800137,46.481121829546126,10.39618812579291,37.200201885686084,66.50183372387043,60.621862112669156,66.50183372387043,9.391708957852382
